backtest_timerange,profit_total_abs,train_period_days,backtest_period_days,test_size,timeframe,leverage,target_shifted_candles,container_name,key,trades,profit_mean,profit_mean_pct,profit_total,profit_total_pct,duration_avg,wins,draws,losses,winrate,cagr,expectancy,expectancy_ratio,sortino,sharpe,calmar,sqn,profit_factor,max_drawdown_account,max_drawdown_abs
20250401-20250430,2.81983855,58,30,0.03,1h,5,10,fit-foal-drake,AwesomeMacdFreqAi,24,-5.73673073305395e-05,-0.01,0.01409919275,1.41,10:00:00,13,0,11,0.5416666666666666,0.19269565792112764,0.11749327291666645,0.03841640283346637,0.9036369969645696,0.4502427378814127,10.777619953585246,0.1366,1.0838176061821088,0.08618264464616322,18.816
20250401-20250430,9.601169259999997,42,30,0.03,1h,5,10,fluent-elf-thrush,AwesomeMacdFreqAi,20,0.010757683985389796,1.08,0.04800584629999999,4.8,10:00:00,12,0,8,0.6,0.8042711667706905,0.4800584629999999,0.2212549753528672,4.946501600448401,1.9149928243437309,75.86598547497353,0.6335,1.5531374383821677,0.04168650267108956,8.931
20250401-20250430,-0.10724467000000071,60,30,0.03,1h,5,10,select-mantis-urchin,AwesomeMacdFreqAi,29,-0.00223346226775066,-0.22,-0.0005362233500000035,-0.05,10:00:00,12,0,17,0.41379310344827586,-0.0067280925133224034,-0.0036980920689655417,-0.0020678098239824694,-0.05552993103067994,-0.022187774157283194,-0.6630641283031531,-0.0061,0.9964725597120299,0.05327686023023256,10.937
20250401-20250430,20.42004133,40,30,0.03,1h,5,10,sought-lynx-cattle,AwesomeMacdFreqAi,21,0.023014764462239747,2.3,0.10210020665,10.21,10:00:00,12,0,9,0.5714285714285714,2.399408033412648,0.9723829204761903,0.5926830130612795,12.408847161975713,3.5957631653956934,221.01870723034185,1.1624,2.382927030476319,0.030433087950000014,6.087
20250401-20250430,-13.003625670000002,32,30,0.03,1h,5,10,united-liger-jaguar,AwesomeMacdFreqAi,16,-0.022562892635727104,-2.26,-0.06501812835000001,-6.5,10:00:00,5,0,11,0.3125,-0.5709351733157777,-0.8127266043749999,-0.4306176264501065,-6.34044632391965,-4.106471671909048,-65.87921784325108,-1.5088,0.37364708879984504,0.06501812834999995,13.004
20250401-20250430,-18.08405065,34,30,0.03,1h,5,10,big-iguana-camel,AwesomeMacdFreqAi,15,-0.03278646642800284,-3.28,-0.09042025324999999,-9.04,10:00:00,5,0,10,0.3333333333333333,-0.6966377333780434,-1.2056033766666665,-0.5300947813351155,-8.231058985054949,-6.148903265550615,-57.52046354982659,-2.3282,0.20485782799732685,0.10355993665,20.712
20250401-20250430,22.97490822,38,30,0.03,1h,5,10,amused-bedbug-dodo,AwesomeMacdFreqAi,17,0.0324800427763822,3.25,0.1148745411,11.49,10:00:00,12,0,5,0.7058823529411765,2.9300328801773254,1.3514651894117655,0.6166094501678727,16.256495526865468,4.127684324523527,248.67160802755117,1.4742,3.096472130570767,0.030433087950000014,6.087
20250401-20250430,12.261536470000001,36,30,0.03,1h,5,10,funky-goblin-walrus,AwesomeMacdFreqAi,17,0.01583559087474772,1.58,0.06130768235,6.13,10:00:00,10,0,7,0.5882352941176471,1.1146770296612285,0.7212668511764709,0.42107916391858247,14.022079673649154,2.3983837989556682,118.51097821440207,0.8566,2.0226208266594146,0.034080405223671145,7.42
20250501-20250530,8.61711819,30,30,0.03,1h,5,10,aware-feline-pony,AwesomeMacdFreqAi,25,0.008528171833182361,0.85,0.043085590949999995,4.31,10:00:00,11,0,14,0.44,0.7005078169685859,0.34468472760000013,0.2754888120493877,7.59869506628814,2.716006482008532,85.61838674142925,0.8079,1.4919443072310499,0.03315228352377703,6.707
20250501-20250530,8.507423839999998,56,30,0.03,1h,5,10,simple-sheep-tuna,AwesomeMacdFreqAi,19,0.011744317347917784,1.17,0.04253711919999999,4.25,10:00:00,13,0,6,0.6842105263157895,0.6892880109684643,0.4477591494736842,0.39528906645546447,7.232644228097773,4.033987573627181,153.2555673743742,1.3673,2.251748710442304,0.018285222456914853,3.85
20250501-20250530,6.889955300000001,54,30,0.03,1h,5,10,nice-tapir-bison,AwesomeMacdFreqAi,19,0.009352096305509988,0.94,0.03444977650000001,3.44,10:00:00,12,0,7,0.631578947368421,0.5315658671699273,0.3626292263157893,0.1849929483270354,5.1686117725158915,2.1307934113993414,65.87455709625675,0.7222,1.5021237168876675,0.03445221388553022,7.101
